Blog	four	looking	second	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	best	asked	much	life	things	big	had	easy	possible	right	old	support	happy	offer	team	along	love	working	following	such	data	st	years	didn	internet	million	quite	open	city	future	saw	note	take	going	where	many	photos	being	rest	around	traffic	world	favorite	her	am	having	original	tv	th	large	small	past	full	pick	via	company	learn	information	its	always	found	really	major	number	self	also	play	sometimes	set	see	movie	available	whole	community	read	recent	person	amp	d	continue	anything	into	next	link	line	posted	us	ago	results	try	video	let	great	makes	tools	process	high	doing	books	could	david	start	system	haven	face	fact	should	hope	means	stuff	edition	email	ve	site	android	less	web	five	become	problem	told	word	work	interview	after	order	office	them	network	another	john	do	away	com	photo	thanks	night	security	comments	post	months	book	people	way	update	together	change	live	december	write	remember	still	non	half	now	space	shows	care	yourself	ways	mostly	than	online	only	between	article	comes	learning	actually	these	media	real	rules	early	using	business	aren	lot	trying	month	very	learned	family	takes	history	help	soon	event	since	reason	put	american	off	mobile	clear	pretty	during	x	close	won	probably	both	else	look	while	design	used	game	popular	within	similar	doesn	e	youtube	go	does	facebook	click	products	started	control	links	software	including	him	front	keep	art	long	need	able	based	course	she	computer	written	attention	key	police	well	page	twitter	home	noticed	north	he	friends	companies	even	ever	never	call	tell	give	amazing	before	personal	better	weeks	went	side	content	isn	user	mind	seen	don	m	stop	bad	said	against	appeared	three	tiny	website	say	if	make	left	human	yes	yet	save	down	digital	daily	finally	did	run	making	may	man	maybe	talk	nbsp	group	interesting	earlier	thing	think	first	little	anyone	were	show	enough	get	nearly	morning	behind	reading	according	among	those	then	different	pay	same	money	audience	either	videos	general	again	important	u	public	search	two	share	needs	technology	coming	already	through	house	hard	idea	done	least	part	believe	build	most	find	giant	please	point	simple	simply	create	understand	talking	itself	spent	source	bit	google	often	back	use	forward	single	entire	others	later	ll	day	red	text	national	taking	almost	thought	latest	add	smart	works	actual	buy	minutes	special	under	every	school	changes	would	phone	me	times	end	over	writing	each	got	free	days	top	too	tool	took	though	watch	amazon	report	however	news	several	social	everything	christmas	check	no	when	posts	iphone	today	happened	name	turn	place	given	white	any	sure	state	come	case	myself	good	week	without	seems	blog	everyone	there	program	far	sony	list	version	known	short	might	feel	says	story	kind	nothing	his	hit	wrote	c	political	questions	customers	question	called	users	once	issues	apple	app	few	something	six	instead	looks	our	york	their	which	who	why	looked	local	words	view	stories	job	last	will	gets	other	know	january	because	lead	stay	getting	own	apps	made	happen
Schneier on Security	0	1	0	0	0	2	1	1	3	1	4	0	1	0	2	0	2	1	3	0	1	1	7	1	4	0	1	2	0	1	0	0	0	2	0	0	6	4	1	1	3	0	0	2	0	0	0	0	2	4	3	1	1	5	0	2	0	0	0	2	2	1	1	0	1	0	0	2	0	1	0	5	0	4	5	0	0	2	0	1	0	11	3	0	1	0	2	0	4	1	2	0	1	0	1	0	2	7	0	1	0	1	14	0	2	3	0	0	0	2	1	3	1	0	0	6	0	0	1	3	0	2	0	0	0	0	0	2	3	0	0	0	0	0	0	0	2	2	6	2	3	1	0	4	2	1	0	0	0	1	1	0	2	6	2	1	1	0	5	1	0	0	1	0	2	0	2	3	0	0	3	0	3	0	0	0	0	1	0	3	2	4	0	0	0	9	2	4	1	0	2	0	0	1	3	4	3	1	0	0	0	2	1	0	4	1	0	1	4	0	3	4	0	0	1	0	1	2	0	1	1	0	3	0	0	0	2	2	2	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	4	3	1	5	1	0	2	4	0	0	0	3	0	0	0	0	36	6	0	1	7	0	0	0	1	0	0	0	4	0	1	0	0	0	1	0	0	3	4	3	0	0	6	4	3	2	0	1	2	10	1	2	1	0	0	0	2	0	0	0	4	3	0	3	0	7	1	0	2	2	1	3	5	0	0	2	8	1	0	3	0	0	6	0	2	0	1	3	2	0	5	1	0	0	0	4	0	0	4	0	0	1	0	0	2	0	2	2	1	2	1	0	0	3	7	0	3	1	1	0	3	0	1	1	0	0	1	0	0	0	0	0	2	2	0	2	0	2	1	0	1	0	0	1	0	0	1	1	5	3	0	0	0	0	1	1	0	0	0	6	3	2	2	1	3	0	1	2	0	2	0	2	0	1	1	0	0	1	1	3	4	0	0	4	0	6	4	1	0	1	0	0	0	1	0	0	3	1	5	1	3	0	0	0	2	2	0	3	14	2	0	24	1	0	1	0	6	0	2	2	0	4	4	0	5	0	1	0	0	0	0	0	2	0	0	0	2	2	0	1	0	2	0	10	2	7	0	0	1	0	0	1	2	2	6	0	11	4	0	2	0	1	0	0	0	2	1
PaulStamatiou.com - Technology, Design and Photography	2	21	13	9	15	36	46	111	5	6	113	17	22	18	5	13	42	12	131	21	58	27	90	33	11	70	27	20	11	4	14	15	28	52	10	33	51	11	25	37	6	3	25	31	5	17	2	18	60	52	79	57	110	50	8	61	9	15	6	3	23	47	7	12	1	30	36	16	19	5	21	21	15	8	31	33	29	44	2	11	4	90	19	4	67	85	3	10	5	9	86	13	15	51	75	4	26	119	47	19	23	3	27	16	16	19	72	40	43	27	17	43	28	27	6	56	13	34	22	16	4	5	57	4	20	21	10	82	68	101	83	25	44	2	12	9	4	7	64	2	79	2	20	123	12	45	1	161	33	52	124	12	5	2	9	149	19	8	69	60	23	13	28	18	0	23	11	46	9	14	148	10	5	8	13	11	4	79	7	163	30	22	22	5	40	69	94	19	7	13	75	5	5	32	25	28	38	10	16	15	9	29	12	8	49	10	24	0	29	108	9	25	20	99	16	22	24	32	8	47	73	116	53	5	16	8	11	34	12	5	58	31	15	24	12	38	38	12	18	22	3	12	37	5	25	93	25	26	34	0	12	2	9	13	1	50	71	66	37	5	0	15	25	4	72	22	26	13	21	13	7	51	8	76	8	10	14	79	8	110	29	8	113	118	10	6	17	2	4	12	22	35	20	238	58	23	1	14	28	12	48	8	8	7	31	37	12	43	2	10	14	0	11	20	8	51	47	133	25	6	32	26	25	149	4	4	8	21	0	2	53	110	39	8	51	8	0	17	9	6	25	17	1	7	62	38	27	13	4	15	21	48	1	33	23	40	13	53	11	26	71	47	0	11	37	22	17	36	4	21	14	7	16	55	73	26	69	185	4	12	14	14	33	103	36	8	33	2	11	12	21	7	32	7	23	6	12	18	2	8	42	2	11	102	25	186	27	56	48	17	48	32	11	16	35	66	11	16	36	11	45	3	28	18	27	9	47	0	10	98	187	38	35	11	1	28	18	18	11	4	92	36	12	34	23	21	55	39	31	18	91	17	169	4	16	4	22	44	4	5	25	12	5	11	21	8	13	12	7	25	2	7	5	3	28	66	15	18	23	90	105	56	2	40	54	81	4	108	66	17	49	6	9	3	15	1	14	49	139	13	90	48	2	26	4	7	40	57	34	35	4
Search Engine Roundtable	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	0	0	1	0	1	4	0	0	1	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	23	2	0	1	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
Copyblogger	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	6	0	0	0	1	0	1	2	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	2	1	6	2	0	0	0	0	2	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	1	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	10	0	0	0	1	2	1	0	0	0	0	10	0	0	3	0	3	2	0	1	0	1	0	1	0	1	0	1	0	2	1	0	1	0	0	0	0	0	1	2	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	4	0	0	0	2	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	1	0	0	0	3	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	2	0	0	1	1	0	3	3
Joi Ito's Web	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	1	1	0	0	2	0	2	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	6	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	0	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	1	3	1	0	0	0	0	3	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	3	0	0	3	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
Engadget RSS Feed	0	1	0	1	1	0	0	1	0	1	3	1	3	0	1	1	2	0	0	1	1	0	3	0	3	0	0	0	1	0	0	0	0	0	2	1	0	0	3	0	3	0	1	1	0	0	0	0	0	0	3	2	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	8	0	0	1	0	1	0	1	0	1	1	0	3	1	1	0	0	0	0	0	0	1	0	0	2	0	1	0	3	1	0	0	0	1	2	0	0	0	2	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	0	2	1	1	0	1	4	0	0	3	1	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	0	4	0	0	5	1	0	0	0	1	0	3	1	2	1	0	1	0	0	2	1	1	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	2	0	0	0	0	2	1	4	2	0	1	5	1	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	3	0	0	2	2	1	4	0	1	1	4	0	1	2	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	1	1	0	11	3	0	0	0	1	0	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	4	1	0	2	1	1	3	0	0	2	0	5	0	2	1	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	1	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	3	0	1	0	0	1	0	1	0	0	2	1	0	3	1	1	0	0	0	1	0	4	4	1	0	2	0	1	0	2	0	0	0	0	0	0	1	0	1	0	2	0	1	2	2	0	0	9	0	0	1	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	4	1	0	2	0	0	0	0	0	1	3	1	0	1	0	2	1	0	0	0	3	0	2	1
TMZ.com	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	1	5	0	0	1	1	0	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	3	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	0	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	1	0	0	10	2	0	0	0	0	2	0	0	0	1	0	0	2	0	2	0	0	0	0	0	3	2	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	2	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	3	2	0	1	7	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	3	1	5	3	0	0	0	0	0	1	4	2	1	2	1	0	1	1	0	2	3	0	0	1
TUAW: Apple news, reviews and how-tos since 2004 RSS Feed	0	0	0	2	0	1	1	0	0	0	2	0	1	0	0	0	6	0	1	0	0	1	1	1	0	0	0	2	1	0	0	0	1	4	0	0	0	0	1	0	0	0	1	0	1	2	0	1	1	0	1	0	1	2	0	0	0	0	1	5	0	0	0	1	0	1	0	0	0	0	0	3	0	0	5	0	0	1	2	2	0	2	1	0	0	3	0	0	0	0	0	1	0	1	2	0	0	2	1	0	1	1	0	1	0	0	1	2	1	1	2	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	6	1	2	0	2	0	0	1	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	4	0	0	1	1	1	1	3	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	1	0	2	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	6	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	2	0	1	0	0	0	0	1	0	0	11	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	2	4	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	0	2	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	3	0	11	2	0	0	0	0	0	1	0	1	0	0	2	0	0	2	2	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	2	0	0	27	14	0	3	0	0	0	9	2	3	2	2	0	0	0	0	0	1	0	2	3	1	0	0	4	0	0	0	1	4	11	0	0
A Consuming Experience (full feed)	0	0	0	0	0	1	2	9	2	0	13	1	0	2	1	2	4	1	1	0	2	2	12	1	5	10	6	2	0	0	0	0	1	7	2	0	1	0	2	5	3	0	0	29	0	0	0	4	3	2	8	3	0	0	0	0	0	0	0	0	1	4	11	2	0	0	0	1	4	1	2	0	0	0	6	6	11	3	0	4	0	10	0	1	6	20	0	1	0	0	2	0	0	2	7	3	6	0	8	0	2	0	0	0	0	18	1	2	0	0	5	2	0	1	0	8	0	10	1	2	0	0	13	2	0	1	0	0	19	3	0	1	1	0	0	10	0	20	15	0	13	1	0	8	3	2	0	16	0	0	0	1	0	3	0	9	0	0	9	15	4	0	2	0	0	0	1	4	0	0	14	4	0	1	0	2	0	5	2	19	1	0	0	0	0	0	0	1	0	0	17	0	0	3	7	0	2	0	0	3	0	2	2	0	2	2	0	0	3	0	3	1	0	4	8	2	2	11	3	5	1	0	2	0	0	3	1	7	0	0	14	1	0	18	1	2	0	0	0	0	0	0	8	0	3	8	1	3	0	0	4	1	0	3	0	5	2	0	0	1	0	0	0	0	13	0	1	0	0	1	0	12	2	3	0	0	0	0	3	2	1	0	19	1	5	1	0	2	0	0	0	1	2	54	18	10	0	5	3	7	8	0	0	1	2	4	0	15	0	0	0	29	0	0	2	2	1	10	0	0	3	2	2	17	0	0	0	0	0	0	4	34	2	0	17	0	0	1	0	2	16	1	0	0	6	4	0	0	0	0	7	1	0	1	0	1	3	0	0	0	5	9	0	6	1	0	0	1	0	0	3	0	3	13	0	0	9	18	1	2	0	1	4	8	1	2	3	0	2	1	0	0	18	0	3	0	0	4	0	0	5	0	2	2	0	12	1	1	12	0	2	4	6	1	8	3	24	1	3	0	2	2	6	0	0	0	3	0	6	10	18	1	0	0	1	13	1	1	1	0	2	11	0	0	4	1	1	0	5	5	1	0	24	7	3	0	3	22	0	0	1	1	1	0	1	2	0	2	0	3	0	0	0	0	1	2	4	4	1	0	1	5	0	4	2	0	0	4	16	3	3	0	0	0	10	0	0	0	11	2	13	2	0	14	1	0	2	3	0	4	0
Latest from Crooks and Liars	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	1	2	7	0	0	0	2	1	1	1	0	2	0	0	0	1	0	9	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	9	0	3	1	1	1	1	4	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	1	2	2	1	0	0	0	1	1	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	3	0	1	0	3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	8	0	2	0	0	5	4	0	1	1	0	0	5	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	2	0	1	3	0	0	0	0	0	1	2	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	2	0	0	3	4	1	1	2	1	0	0	1	2	1	3	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	1	1	1	0	2	0	0	1	0	0	0	0	1	0	1	0	2	1	0	3	1	0	2	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	4	2	0	1	0	1	0	1	3	0	0	1	0	4	0	0	0	1	0	0	0	1	0	0	1	0	1	8	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	7	3	10	0	0	0	1	0	0	0	2	1	1	2	0	1	4	0	0	0	0	0	0	1
